"Datum","Wiki/WHO","90870","1922","2.1608130593155552E-2","...6","...7","80304","130","47300","48190","42680","1.1471999999999999E-3","16...14","10566","706","...17","0.1908108108108108","58","...20","1433.6...21","Viral_Pot","5.9859999999999962","1575.6539999999995","12.214372093023252","0.63917525773195871...26","Value_Infectious","0.65747613997879117","1433.6...29","0.63917525773195871...30","120...31","2.1481481481481484...32","30","16...34","212.98199999999994","33...36","33...37","39.200000000000003","120...39","1.3529411764705883","1.4352941176470588","4.5647058823529409","2.1428571428571428","2.1481481481481484...44","1.0666666666666667","1.411764705882353E-5","89","133.5","1362.3999999999999","Free_Viral","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","0...65","...66","0...67","17","0.04","80","0.12","...72","...73","...74","...75","...76","...77","...78","...79","...80","...81","3.0552302941176462E-4","30.55230294117646","7.6380757352941158E-3","1.5276151470588232E-2"
2020-03-04,"Wiki/WHO",93090,2220,0.0244305051172004,NA,NA,80422,118,49853,51039,42051,0.00114888571428571,16,12668,706,NA,0.190810810810811,90,NA,1668,3783.9954,5.908,2029.714,11.2553456561922,0.572490706319703,0.553030525385843,"0.59367771781033163","1668","0.57249070631970256",180,2.14285714285714,37,32,382.56,60,"60","51.6",180,"1.9411764705882355",2.14117647058824,"6.5058823529411764","2.0689655172413794","2.1428571428571428","2","2.1176470588235296E-5","121",181.5,1571.2,3692.48915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.3000000000000005E-2",0.053,"5.3000000000000005E-2","12",0.16,"92","0.28000000000000003",NA,"0.26250000000000001",NA,NA,NA,NA,NA,NA,NA,NA,0.000434410488235294,43.4410488235294,0.0108602622058824,0.0217205244117647
2020-03-05,"Wiki/WHO",95333,2243,0.024094961864862,NA,NA,80565,143,52056,53800,41533,0.00115092857142857,16,14768,706,NA,0.190810810810811,116,NA,2410.8,4980.6,5.83,2330.672,9.51294693877551,0.494771741902576,0.47892666011549,"0.51445239989392733","2410.8000000000002","0.49477174190257583",240,2,56,26,384.178,61,"61","55.2",241,"2.5764705882352943",2.85882352941176,"9.0823529411764703","2.0083333333333333","2","0.8125","2.835294117647059E-5","180",270,2266.8,4844.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.3000000000000005E-2",0.053,"-0.94699999999999995","15",0.4,"102","0.68",NA,"0.78749999999999998",NA,NA,NA,NA,NA,NA,NA,NA,0.000569938235294117,56.9938235294117,0.0142484558823529,0.0284969117647059
2020-03-06,"Wiki/WHO",98192,2859,0.0299896153483054,NA,NA,80711,146,53734,55900,42292,0.00115301428571429,16,17481,696,NA,0.188108108108108,210,NA,3216,6867.8658,5.752,2743.024,8.96413071895424,0.336273428886439,0.325505130579133,"0.34977064220183485","3216","0.3362734288864388",313,2.33333333333333,86,94,454.06,73,"73","62.2",314,"3.3176470588235292",3.71764705882353,"12.399999999999999","1.7444444444444445","2.3333333333333335","3.6153846153846154","3.6941176470588235E-5","240",360,3024,6686.3658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.42400000000000004",0.053,"-0.57599999999999996","23",0.28,"121","0.96000000000000008",NA,"1.155",NA,NA,NA,NA,NA,NA,NA,NA,0.000786631270588235,78.6631270588235,0.0196657817647059,0.0393315635294118
2020-03-07,"Wiki/WHO",101927,3735,0.0380377220140134,NA,NA,80813,102,55403,57426,44501,0.00115447142857143,16,21114,696,NA,0.188108108108108,264,NA,4501.2,8879.9988,5.674,3898.322,10.555023465704,0.258397932816538,0.249656835398922,"0.26855123674911663","4501.2","0.2583979328165375",362,2.27586206896552,209,54,300.958,49,"49","88.8",363,"3.7411764705882353",4.28235294117647,"16.141176470588235","2.0166666666666666","2.2758620689655173","0.57446808510638303","4.2705882352941178E-5","309",463.5,4254,8646.31755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.63600000000000012",0.053,"-0.36399999999999988","8",0.4,"120","1.36",NA,"1.68",NA,NA,NA,NA,NA,NA,NA,NA,0.00101721382941176,101.721382941176,0.0254303457352941,0.0508606914705882
2020-03-08,"Wiki/WHO",105586,3659,0.0358982408978975,NA,NA,80859,46,57071,60694,44892,0.00115512857142857,17,24727,696,NA,0.188108108108108,327,NA,5888.4,11173.087,5.59599999999999,5144.91,10.8848589562764,0.339688801227263,0.32706380309626,"0.35477225909819182","5888.4","0.33968880122726275",429,1.55714285714286,264,63,412.352,68,"68","118.8",431,"4.4117647058823533",5.07058823529412,"20.55294117647059","1.7883817427385893","1.5571428571428572","1.1666666666666667","5.0705882352941176E-5","348",522,5610,10909.912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1130000000000002",0.053,"-0.88699999999999979","17",0.52,"133","1.8800000000000001",NA,"2.3624999999999998",NA,NA,NA,NA,NA,NA,NA,NA,0.00128351905882353,128.351905882353,0.0320879764705882,0.0641759529411764
2020-03-09,"Wiki/WHO",109578,3992,0.0378080427329381,NA,NA,80904,45,57320,62392,47186,0.00115577142857143,30,28674,696,NA,0.188108108108108,369,NA,7500.4,13353.0236,5.51799999999999,7092.13,11.2573492063492,0.433624253559945,0.417021669053828,"0.45608271330563344","7500.4","0.43362425355994494",621,1.75714285714286,332,42,1155.298,193,"193","171",624,"6.3176470588235301",7.32941176470588,"26.870588235294122","1.9872611464968153","1.3977272727272727","0.66666666666666663","7.3411764705882349E-5","409",613.5,7173.2,13043.71735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.431",0.053,"-1.569","29",0.44,"157","2.3200000000000003",NA,"2.94",NA,NA,NA,NA,NA,NA,NA,NA,0.00153455498235294,153.455498235294,0.0383638745588235,0.076727749117647
2020-03-10,"Wiki/WHO",113702,4124,0.0376352917556444,NA,NA,80924,20,59900,64391,49311,0.00115605714285714,31,32778,696,NA,0.188108108108108,564,NA,9057.2,14768.076,5.43999999999999,9151.34599999999,10.4467420091324,0.535519918728684,0.516205224595127,"0.56764864241212221","9057.2000000000007","0.53551991872868443",831,2.13636363636364,332,195,1246.588,211,"211","232.8",835,"8.4117647058823533",9.76470588235294,"35.282352941176477","1.9373549883990719","1.724770642201835","4.6428571428571432","9.8235294117647064E-5","592",888,8583.6,14320.376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.2260000000000004",0.053,"-1.7739999999999996","40",1.24,"185","3.5600000000000005",NA,"4.5674999999999999",NA,NA,NA,NA,NA,NA,NA,NA,0.00168475011764706,168.475011764706,0.0421187529411764,0.0842375058823529
2020-03-11,"Wiki/WHO",118326,4624,0.0406677103305131,NA,NA,80955,31,61570,66669,51657,0.0011565,35,37371,696,NA,0.188108108108108,873,0,10104,20300.1236,5.41099999999999,11602.514,9.85770093457943,0.495147228162527,0.479159975957772,"0.52637714951909065","10104","0.49514722816252676",1162,2.36585365853659,491,309,1947.22,334,"334","305.60000000000002",1169,"11.63529411764706",13.5764705882353,"46.917647058823533","1.8733974358974359","2.3658536585365852","1.5846153846153845","1.3752941176470589E-4","790",1185,9472,19702.6861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.0740000000000003",0.053,"-3.9259999999999997","48",1.32,"223","4.8400000000000007",NA,"6.3",NA,NA,NA,NA,NA,NA,NA,NA,0.00231796307058823,231.796307058823,0.0579490767647058,0.115898153529412
2020-03-12,"Wiki/WHO",125048,6722,0.05680915437013,NA,NA,80981,26,62882,68310,56738,0.00115687142857143,39,44067,696,NA,0.188108108108108,1195,0,14152.4,25733.5314,5.38199999999999,13964.026,8.99937228786251,0.44391785150079,0.430452471405574,"0.47104182382030008","14152.4","0.44391785150078994",1516,2.11879432624113,645,322,2059.216,358,"358","351.4",1527,"15.129411764705882",17.7058823529412,"62.047058823529412","1.8287425149700598","2.1187943262411348","1.0420711974110033","1.7964705882352942E-4","1113",1669.5,13262,24891.82515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.7700000000000005",0.053,"-6.2299999999999995","51",2.4,"260","7.2","7","9.4499999999999993",NA,NA,NA,NA,NA,NA,NA,NA,0.00292845001764706,292.845001764706,0.0732112504411764,0.146422500882353
2020-03-13,"Wiki/WHO",132758,7710,0.0616563239715949,NA,NA,80991,10,NA,NA,NA,0.00115701428571429,39,51767,696,NA,0.188108108108108,1596,0,18193.2,31993.03,5.35299999999999,15724.268,8.04036202488494,0.356323866643147,0.345510694770356,"0.37616387337057727","18193.2","0.35632386664314697",1945,1.82817869415808,858,401,2451.168,432,"432","373",1959,"19.352941176470591",22.6705882352941,"81.400000000000006","1.6757912745936698","1.8281786941580755","1.2453416149068324","2.3047058823529411E-4","1440",2160,17041.2,30904.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.1480000000000006",0.053,"-7.8519999999999994","54",2.44,"297","9.6000000000000014","11","12.6525",NA,NA,NA,NA,NA,NA,NA,NA,0.00363576823529412,363.576823529412,0.0908942058823529,0.181788411764706
