"Datum","Viral_Pot","Value_Infectious","Free_Viral","Viraliät_in_Proz","Viralität_pro_X","Dunkelziffer","Menschen_mit_Viruskontakt","Viral_Pot_Plus","Value_Infectious_Plus","Free_Viral_Plus","Viraliät_in_Proz_Plus","Viralität_pro_X_Plus","Dunkelziffer_Plus","Menschen_mit_Viruskontakt_Plus","Viral_Pot_Opt","Value_Infectious_Opt","Free_Viral_Opt","Viraliät_in_Proz_Opt","Viralität_pro_X_Opt","Dunkelziffer_Opt","Menschen_mit_Viruskontakt_Opt","Viral_Pot_Pess","Value_Infectious_Pess","Free_Viral_Pess","Viraliät_in_Proz_Pess","Viralität_pro_X_Pess","Dunkelziffer_Pess","Menschen_mit_Viruskontakt_Pess"
2020-03-19,54269.5113999999,0.227973093453643,50004.2613999999,0.00588285428235293,0.00588285428235293,5.17899999999999,0.00914596146439056,54269.5113999999,0.227973093453643,50004.2613999999,0.00588285428235293,0.00588285428235293,5.17899999999999,0.00558897797995116,54269.5113999999,0.227973093453643,50004.2613999999,0.00588285428235293,0.00588285428235293,5.17899999999999,0.00558897797995116,54269.5113999999,0.227973093453643,50004.2613999999,0.00588285428235293,0.00588285428235293,5.17899999999999,0.00558897797995116
2020-03-20,57443.8077999999,0.15835786106096,52692.2890499999,0.00619909282941176,0.00619909282941176,5.15,0.0106634468905078,57443.8077999999,0.15835786106096,52692.2890499999,0.00619909282941176,0.00619909282941176,5.15,0.00612709502678172,57443.8077999999,0.15835786106096,52692.2890499999,0.00619909282941176,0.00619909282941176,5.15,0.00612709502678172,57443.8077999999,0.15835786106096,52692.2890499999,0.00619909282941176,0.00619909282941176,5.15,0.00612709502678172
2020-03-21,61387.8753999999,0.121114869322409,55929.2628999999,0.00657991328235293,0.00657991328235293,5.121,0.0115837369176905,61387.8753999999,0.121114869322409,55929.2628999999,0.00657991328235293,0.00657991328235293,5.121,0.00695339366101526,61387.8753999999,0.121114869322409,55929.2628999999,0.00657991328235293,0.00657991328235293,5.121,0.00695339366101526,61387.8753999999,0.121114869322409,55929.2628999999,0.00657991328235293,0.00657991328235293,5.121,0.00695339366101526
2020-03-22,62621.9803999999,0.123751163189979,56890.3616499999,0.0066929837235294,0.0066929837235294,5.092,0.0123106998312493,62621.9803999999,0.123751163189979,56890.3616499999,0.0066929837235294,0.0066929837235294,5.092,0.00743187909343641,62621.9803999999,0.123751163189979,56890.3616499999,0.0066929837235294,0.0066929837235294,5.092,0.00743187909343641,62621.9803999999,0.123751163189979,56890.3616499999,0.0066929837235294,0.0066929837235294,5.092,0.00743187909343641
2020-03-23,60429.7889999999,0.13920477095158,54553.7264999999,0.00641808547058823,0.00641808547058823,5.063,0.0142492676007394,60429.7889999999,0.13920477095158,54553.7264999999,0.00641808547058823,0.00641808547058823,5.063,0.00838591268606718,60429.7889999999,0.13920477095158,54553.7264999999,0.00641808547058823,0.00641808547058823,5.063,0.00838591268606718,60429.7889999999,0.13920477095158,54553.7264999999,0.00641808547058823,0.00641808547058823,5.063,0.00838591268606718
2020-03-24,56134.4025999999,0.15158812582921,49477.8900999999,0.00582092824705882,0.00582092824705882,5.034,0.0158938722248559,56134.4025999999,0.15158812582921,49477.8900999999,0.00582092824705882,0.00582092824705882,5.034,0.00904859195160575,56134.4025999999,0.15158812582921,49477.8900999999,0.00582092824705882,0.00582092824705882,5.034,0.00904859195160575,56134.4025999999,0.15158812582921,49477.8900999999,0.00582092824705882,0.00582092824705882,5.034,0.00904859195160575
2020-03-25,58049.4121999999,0.128756930850413,50772.7746999999,0.0059732676117647,0.0059732676117647,5.005,0.0173120457775361,58049.4121999999,0.128756930850413,50772.7746999999,0.0059732676117647,0.0059732676117647,5.005,0.00978253340338809,58049.4121999999,0.128756930850413,50772.7746999999,0.0059732676117647,0.0059732676117647,5.005,0.00978253340338809,58049.4121999999,0.128756930850413,50772.7746999999,0.0059732676117647,0.0059732676117647,5.005,0.00978253340338809
2020-03-26,57802.0507999999,0.12117032565369,49956.7132999999,0.00587726038823529,0.00587726038823529,4.976,0.0187924547709035,57802.0507999999,0.12117032565369,49956.7132999999,0.00587726038823529,0.00587726038823529,4.976,0.0101811029532776,57802.0507999999,0.12117032565369,49956.7132999999,0.00587726038823529,0.00587726038823529,4.976,0.0101811029532776,57802.0507999999,0.12117032565369,49956.7132999999,0.00587726038823529,0.00587726038823529,4.976,0.0101811029532776
2020-03-27,58943.5149999999,0.102236512819116,51064.1462499999,0.00600754661764705,0.00600754661764705,4.947,0.0205257780019572,58943.5149999999,0.102236512819116,51064.1462499999,0.00600754661764705,0.00600754661764705,4.947,0.01061993660037,58943.5149999999,0.102236512819116,51064.1462499999,0.00600754661764705,0.00600754661764705,4.947,0.01061993660037,58943.5149999999,0.102236512819116,51064.1462499999,0.00600754661764705,0.00600754661764705,4.947,0.01061993660037
2020-03-28,60326.1654999999,0.0762989547116202,52275.1279999999,0.00615001505882352,0.00615001505882352,4.918,0.0214818203035772,60326.1654999999,0.0762989547116202,52275.1279999999,0.00615001505882352,0.00615001505882352,4.918,0.0113273235608868,60326.1654999999,0.0762989547116202,52275.1279999999,0.00615001505882352,0.00615001505882352,4.918,0.0113273235608868,60326.1654999999,0.0762989547116202,52275.1279999999,0.00615001505882352,0.00615001505882352,4.918,0.0113273235608868
2020-03-29,57682.8573999999,0.0749927029676927,50005.4074,0.00588298910588235,0.00588298910588235,4.889,0.0220578291695118,57682.8573999999,0.0749927029676927,50005.4074,0.00588298910588235,0.00588298910588235,4.889,0.0117251906025204,57682.8573999999,0.0749927029676927,50005.4074,0.00588298910588235,0.00588298910588235,4.889,0.0117251906025204,57682.8573999999,0.0749927029676927,50005.4074,0.00588298910588235,0.00588298910588235,4.889,0.0117251906025204
2020-03-30,53448.1444,0.090611861465853,46073.95065,0.00542046478235294,0.00542046478235294,4.86,0.0237898282422529,53448.1444,0.090611861465853,46073.95065,0.00542046478235294,0.00542046478235294,4.86,0.0125646606837968,53448.1444,0.090611861465853,46073.95065,0.00542046478235294,0.00542046478235294,4.86,0.0125646606837968,53448.1444,0.090611861465853,46073.95065,0.00542046478235294,0.00542046478235294,4.86,0.0125646606837968
2020-03-31,49151.5268,0.112546380975951,41654.82055,0.00490056712352941,0.00490056712352941,4.831,0.0252953962435577,49151.5268,0.112546380975951,41654.82055,0.00490056712352941,0.00490056712352941,4.831,0.0130633747970306,49151.5268,0.112546380975951,41654.82055,0.00490056712352941,0.00490056712352941,4.831,0.0130633747970306,49151.5268,0.112546380975951,41654.82055,0.00490056712352941,0.00490056712352941,4.831,0.0130633747970306
2020-04-01,47873.2802,0.100994739352288,40042.31145,0.00471086017058823,0.00471086017058823,4.802,0.0266407410890508,47873.2802,0.100994739352288,40042.31145,0.00471086017058823,0.00471086017058823,4.802,0.0136032469969962,47873.2802,0.100994739352288,40042.31145,0.00471086017058823,0.00471086017058823,4.802,0.0136032469969962,47873.2802,0.100994739352288,40042.31145,0.00471086017058823,0.00471086017058823,4.802,0.0136032469969962
2020-04-02,44695.711,0.0924761836644675,36511.5735,0.00429547923529411,0.00429547923529411,4.773,0.0278033520874198,44695.711,0.0924761836644675,36511.5735,0.00429547923529411,0.00429547923529411,4.773,0.0138409136597734,44695.711,0.0924761836644675,36511.5735,0.00429547923529411,0.00429547923529411,4.773,0.0138409136597734,44695.711,0.0924761836644675,36511.5735,0.00429547923529411,0.00429547923529411,4.773,0.0138409136597734
2020-04-03,43632.7742,0.0739326396022164,35891.7992,0.0042225646117647,0.0042225646117647,4.744,0.029030846843101,43632.7742,0.0739326396022164,35891.7992,0.0042225646117647,0.0042225646117647,4.744,0.0141069329504793,43632.7742,0.0739326396022164,35891.7992,0.0042225646117647,0.0042225646117647,4.744,0.0141069329504793,43632.7742,0.0739326396022164,35891.7992,0.0042225646117647,0.0042225646117647,4.744,0.0141069329504793
2020-04-04,43942.4,0.0543291877511293,36439.64375,0.0042870169117647,0.0042870169117647,4.715,0.0296743877829727,43942.4,0.0543291877511293,36439.64375,0.0042870169117647,0.0042870169117647,4.715,0.0145819681857252,43942.4,0.0543291877511293,36439.64375,0.0042870169117647,0.0042870169117647,4.715,0.0145819681857252,43942.4,0.0543291877511293,36439.64375,0.0042870169117647,0.0042870169117647,4.715,0.0145819681857252
